河北频道,#genre#
广西卫视,http://60.16.18.243:4949/hls/58/index.m3u8
延边卫视,http://60.16.18.243:4949/hls/68/index.m3u8
新疆卫视,http://60.16.18.243:4949/hls/62/index.m3u8
江苏卫视,http://116.3.67.48:777/hls/24/index.m3u8
江苏卫视,http://42.86.255.218:777/hls/24/index.m3u8
江苏卫视,http://60.16.18.243:4949/hls/41/index.m3u8
江西卫视,http://60.16.18.243:4949/hls/55/index.m3u8
河北卫视,http://60.16.18.243:4949/hls/52/index.m3u8
河南卫视,http://60.16.18.243:4949/hls/56/index.m3u8
浙江卫视,http://116.3.67.48:777/hls/22/index.m3u8
浙江卫视,http://42.86.255.218:777/hls/22/index.m3u8
浙江卫视,http://60.16.18.243:4949/hls/43/index.m3u8
海南卫视,http://116.3.67.48:777/hls/26/index.m3u8
海南卫视,http://42.86.255.218:777/hls/26/index.m3u8
海南卫视,http://60.16.18.243:4949/hls/57/index.m3u8
深圳卫视,http://60.16.18.243:4949/hls/46/index.m3u8
湖北卫视,http://60.16.18.243:4949/hls/47/index.m3u8
湖南卫视,http://116.3.67.48:777/hls/23/index.m3u8
湖南卫视,http://42.86.255.218:777/hls/23/index.m3u8
湖南卫视,http://60.16.18.243:4949/hls/48/index.m3u8
甘肃卫视,http://60.16.18.243:4949/hls/61/index.m3u8
西藏卫视,http://60.16.18.243:4949/hls/64/index.m3u8
贵州卫视,http://60.16.18.243:4949/hls/54/index.m3u8
辽宁卫视,http://116.3.67.48:777/hls/19/index.m3u8
辽宁卫视,http://42.86.255.218:777/hls/19/index.m3u8
辽宁卫视,http://60.16.18.243:4949/hls/19/index.m3u8
重庆卫视,http://60.16.18.243:4949/hls/42/index.m3u8
陕西卫视,http://60.16.18.243:4949/hls/59/index.m3u8
青海卫视,http://60.16.18.243:4949/hls/67/index.m3u8
黑龙江卫视,http://60.16.18.243:4949/hls/44/index.m3u8
其他频道,#genre#
1,http://119.116.120.242:8888
1,http://119.116.41.199:88
CHC动作电影,http://60.16.18.243:4949/hls/30/index.m3u8
CHC家庭影院,http://60.16.18.243:4949/hls/29/index.m3u8
CHC电影,http://60.16.18.243:4949/hls/28/index.m3u8
上海炫动卡通,http://60.16.18.243:4949/hls/71/index.m3u8
世界地理,http://60.16.18.243:4949/hls/109/index.m3u8
中华特产,http://60.16.18.243:4949/hls/97/index.m3u8
中学生,http://60.16.18.243:4949/hls/85/index.m3u8
乒羽,http://60.16.18.243:4949/hls/91/index.m3u8
书画,http://60.16.18.243:4949/hls/89/index.m3u8
优优宝贝,http://60.16.18.243:4949/hls/99/index.m3u8
全纪实,http://60.16.18.243:4949/hls/74/index.m3u8
冬奥纪实,http://60.16.18.243:4949/hls/75/index.m3u8
动漫秀场,http://60.16.18.243:4949/hls/78/index.m3u8
劲爆体育,http://60.16.18.243:4949/hls/105/index.m3u8
北京纪实,http://60.16.18.243:4949/hls/94/index.m3u8
卡酷少儿,http://60.16.18.243:4949/hls/70/index.m3u8
卫生健康,http://60.16.18.243:4949/hls/88/index.m3u8
发现之旅,http://60.16.18.243:4949/hls/81/index.m3u8
四海钓鱼,http://60.16.18.243:4949/hls/96/index.m3u8
国学,http://60.16.18.243:4949/hls/84/index.m3u8
女性时尚,http://60.16.18.243:4949/hls/90/index.m3u8
家庭理财,http://60.16.18.243:4949/hls/102/index.m3u8
家政,http://60.16.18.243:4949/hls/113/index.m3u8
快乐垂钓,http://60.16.18.243:4949/hls/83/index.m3u8
怀旧剧场,http://60.16.18.243:4949/hls/31/index.m3u8
收藏天下,http://60.16.18.243:4949/hls/93/index.m3u8
新视觉,http://60.16.18.243:4949/hls/103/index.m3u8
早期教育,http://60.16.18.243:4949/hls/104/index.m3u8
汽摩,http://60.16.18.243:4949/hls/87/index.m3u8
海城新闻综合,http://60.16.18.243:4949/hls/34/index.m3u8
游戏风云,http://60.16.18.243:4949/hls/79/index.m3u8
环球奇观,http://60.16.18.243:4949/hls/82/index.m3u8
环球旅游,http://60.16.18.243:4949/hls/100/index.m3u8
生态环境,http://60.16.18.243:4949/hls/101/index.m3u8
百姓健康,http://60.16.18.243:4949/hls/95/index.m3u8
第一剧场,http://60.16.18.243:4949/hls/33/index.m3u8
精彩影视,http://60.16.18.243:4949/hls/110/index.m3u8
老故事,http://60.16.18.243:4949/hls/80/index.m3u8
茶,http://60.16.18.243:4949/hls/86/index.m3u8
财富天下,http://60.16.18.243:4949/hls/112/index.m3u8
车迷,http://60.16.18.243:4949/hls/98/index.m3u8
辽宁体育,http://60.16.18.243:4949/hls/25/index.m3u8
辽宁公共,http://60.16.18.243:4949/hls/21/index.m3u8
辽宁北方,http://60.16.18.243:4949/hls/24/index.m3u8
辽宁卫生,http://60.16.18.243:4949/hls/92/index.m3u8
辽宁影视剧,http://60.16.18.243:4949/hls/23/index.m3u8
辽宁教育青少,http://60.16.18.243:4949/hls/27/index.m3u8
辽宁生活,http://60.16.18.243:4949/hls/26/index.m3u8
辽宁经济,http://60.16.18.243:4949/hls/20/index.m3u8
辽宁都市,http://60.16.18.243:4949/hls/22/index.m3u8
都市剧场,http://60.16.18.243:4949/hls/77/index.m3u8
金鹰卡通,http://60.16.18.243:4949/hls/72/index.m3u8
鞍山公共,http://60.16.18.243:4949/hls/36/index.m3u8
鞍山新闻,http://60.16.18.243:4949/hls/35/index.m3u8
风云剧场,http://60.16.18.243:4949/hls/32/index.m3u8
风云足球,http://60.16.18.243:4949/hls/106/index.m3u8
高尔夫网球,http://60.16.18.243:4949/hls/107/index.m3u8
